Date,Symbol,Status,Market,Side,Qty,Entry,Exit,Entry Total,Exit Total,Position,Return ($),Return (%),Dividends,Open Date,Tags,Setup,Confidence,Target,Stop,Notes
2026-07-10T15:43:11.000Z,SSPC,LOSS,STOCK,LONG,120,13.17,13.18,1580.4,1581.6,0,-1.86,-0.11769172361427487,0,2026-07-10T15:41:29.000Z,,,0,,,
2026-07-10T15:40:17.000Z,TSLA,WIN,OPTION,LONG,1,1.8,2,180,200,0,18.88,10.488888888888889,0,2026-07-10T15:18:34.000Z,,,0,,,
2026-07-10T15:38:10.000Z,TSLA,LOSS,OPTION,LONG,1,1.18,1.01,118,101,0,-18.12,-15.35593220338983,0,2026-07-10T15:19:43.000Z,,,0,,,
2026-07-10T15:31:16.000Z,NVDA,WIN,OPTION,LONG,3,2.3,2.433333333333333,690,730,0,36.84,5.339130434782609,0,2026-07-10T15:19:46.000Z,,,0,,,
2026-07-10T15:26:56.000Z,SSPC,LOSS,STOCK,LONG,125,13.24,13.1,1655,1637.5,0,-19.56,-1.1818731117824774,0,2026-07-10T15:19:49.000Z,,,0,,,
2026-07-09T14:24:16.000Z,SQQQ,WIN,STOCK,LONG,30,39.1,39.28,1173,1178.4,0,2.37,0.2020460358056266,0,2026-07-09T14:18:21.000Z,,,0,40,38.5,
2026-07-09T14:13:57.000Z,QQQ,WIN,OPTION,LONG,3,1.99,2.4166666666666665,597,725,0,123.6851,20.717772194304857,0,2026-07-09T14:09:58.000Z,,,0,3,1.85,
2026-07-09T14:07:17.000Z,TSLL,LOSS,STOCK,LONG,125,12.5,12.395,1562.5,1549.375,0,-15.181667,-0.971626688,0,2026-07-09T14:04:43.000Z,,,0,13,12.4,
2026-07-09T13:57:58.000Z,INTC,LOSS,OPTION,LONG,6,2.845,2.816666666666667,1707,1689.9999999999998,0,-24.57,-1.4393673110720562,0,2026-07-09T13:51:41.000Z,,,0,3,2.7,
2026-07-08T15:59:34.000Z,MULL,WIN,STOCK,LONG,60,24.33,24.591666666666665,1459.8,1475.5,0,11.67,0.7994245787094123,0,2026-07-08T13:58:51.000Z,mistake:Early exit; mistake:No plan; setup:Pullback; emotion:Anxious,Pullback,0,25,24,
2026-07-07T14:16:41.000Z,INTC,WIN,OPTION,LONG,5,3.358,3.61,1679,1805,0,119.65,7.126265634306135,0,2026-07-07T13:53:10.000Z,mistake:Early exit; mistake:Moved stop; setup:Pullback; emotion:Anxious,Pullback,3,4.2,3.2,
2026-07-02T15:01:34.000Z,TSLQ,WIN,STOCK,LONG,80,18.02,18.225625,1441.6,1458.05,0,11.39,0.7900943396226415,0,2026-07-02T14:22:27.000Z,,,0,18.3,18,
2026-07-02T14:58:53.000Z,HOOD,WIN,OPTION,LONG,3,0.92,1.13,276,339,0,58.09,21.047101449275363,0,2026-07-02T13:53:04.000Z,,,0,,,
2026-07-02T14:54:15.000Z,PLTR,LOSS,OPTION,LONG,3,1.52,1.1633333333333333,455.99999999999994,349,0,-111.24,-24.394736842105264,0,2026-07-02T13:42:23.000Z,,,0,,,
2026-07-01T14:28:35.000Z,AMDL,LOSS,STOCK,LONG,15,77.7,76.5,1165.5,1147.5,0,-20.03,-1.7185757185757187,0,2026-07-01T14:27:19.000Z,,,0,80,77,
